,timestamp,uid,dtype,lat,lon,geometry,acc,tz,class,transform
32820,1589659397,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.62425,-95.291186,POINT (-95.291186 35.62425),4,-18000,OTHER,KEEP
32821,1589659399,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.624792,-95.291617,POINT (-95.291617 35.624792),4,-18000,OTHER,KEEP
33103,1589659444,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.636755,-95.301741,POINT (-95.301741 35.636755),4,-18000,OTHER,KEEP
33079,1589659489,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.64982,-95.309143,POINT (-95.309143 35.64982),4,-18000,OTHER,KEEP
16119,1589641172,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.654839,-95.309651,POINT (-95.309651 35.654839),5,-18000,OTHER,KEEP
16118,1589641217,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.641205,-95.305664,POINT (-95.305664 35.641205),5,-18000,OTHER,KEEP
15990,1589641262,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.629026,-95.295127,POINT (-95.295127 35.629026),5,-18000,OTHER,KEEP
16010,1589641307,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.616722,-95.285412,POINT (-95.285412 35.616722),5,-18000,OTHER,KEEP
16052,1589641352,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.604852,-95.276028,POINT (-95.276028 35.604852),5,-18000,OTHER,KEEP
16070,1589641397,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.593015,-95.266638,POINT (-95.266638 35.593015),5,-18000,OTHER,KEEP
16009,1589641442,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.581799,-95.25782,POINT (-95.25782 35.581799),5,-18000,OTHER,KEEP
16011,1589657700,1253bf323cfba0d5e7ff5b7500e52b59009438e53dd0793e0f6413d2378f84d2,1,35.63246,-95.297936,POINT (-95.297936 35.63246),5,-18000,OTHER,KEEP
25912,1589557252,12b4779932a6b1d2dcf7cc8940032d77b7bcae40f9ebc4007297634bea09aaae,1,35.633588,-95.459912,POINT (-95.459912 35.633588),12,-18000,OTHER,KEEP
36725,1589642609,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.574381,-95.491264,POINT (-95.491264 35.574381),8,-18000,OTHER,KEEP
35502,1589677898,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.583425,-95.490178,POINT (-95.490178 35.583425),12,-18000,OTHER,KEEP
35568,1589677943,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.596128,-95.483783,POINT (-95.483783 35.596128),12,-18000,OTHER,KEEP
35569,1589677988,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.607738,-95.474649,POINT (-95.474649 35.607738),12,-18000,OTHER,KEEP
35515,1589678033,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.619807,-95.467524,POINT (-95.467524 35.619807),12,-18000,OTHER,KEEP
35516,1589678078,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.631784,-95.46047,POINT (-95.46047 35.631784),12,-18000,OTHER,KEEP
35670,1589678123,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.643994,-95.452831,POINT (-95.452831 35.643994),12,-18000,OTHER,KEEP
35671,1589678168,155d17e7b9e5bd1ab27f22411777be4503cf1fecf21928c76648518244907138,1,35.655999,-95.444677,POINT (-95.444677 35.655999),12,-18000,OTHER,KEEP
47737,1589462460,16432b557be8fd58fabe985ee9ffc996f642239763c720153ab960ad30354fa1,0,35.6288763,-95.3653027,POINT (-95.3653027 35.6288763),4,-18000,OTHER,KEEP
47922,1589462640,16432b557be8fd58fabe985ee9ffc996f642239763c720153ab960ad30354fa1,0,35.5890041,-95.3385585,POINT (-95.3385585 35.5890041),3,-18000,OTHER,KEEP
47921,1589479799,16432b557be8fd58fabe985ee9ffc996f642239763c720153ab960ad30354fa1,0,35.6100202,-95.4732861,POINT (-95.4732861 35.6100202),10,-18000,OTHER,KEEP
43449,1589647686,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.58808,-95.262751,POINT (-95.262751 35.58808),32,-18000,OTHER,KEEP
43651,1589647709,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.582497,-95.258336,POINT (-95.258336 35.582497),6,-18000,OTHER,KEEP
43418,1589647712,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.581759,-95.257762,POINT (-95.257762 35.581759),6,-18000,OTHER,KEEP
43417,1589647714,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.581277,-95.257372,POINT (-95.257372 35.581277),6,-18000,OTHER,KEEP
43416,1589647716,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.580786,-95.256973,POINT (-95.256973 35.580786),6,-18000,OTHER,KEEP
43630,1589647718,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.580292,-95.256608,POINT (-95.256608 35.580292),6,-18000,OTHER,KEEP
43629,1589647720,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.5798,-95.256225,POINT (-95.256225 35.5798),6,-18000,OTHER,KEEP
43628,1589647722,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.579312,-95.25583,POINT (-95.25583 35.579312),6,-18000,OTHER,KEEP
43447,1589647724,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.578822,-95.255441,POINT (-95.255441 35.578822),6,-18000,OTHER,KEEP
43359,1589647726,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.578316,-95.255072,POINT (-95.255072 35.578316),8,-18000,OTHER,KEEP
43676,1589647728,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.577827,-95.254684,POINT (-95.254684 35.577827),8,-18000,OTHER,KEEP
43675,1589647730,16da7aba5119030149cc90b372f7d136a70bd7a0910f3037f0670dc9396fcb4a,1,35.577327,-95.254297,POINT (-95.254297 35.577327),8,-18000,OTHER,KEEP
1231,1589495545,19a20476c48970975cf2bf5ae755255a7013c20d25cfb9114eaa933acf07ffe4,0,35.6204519,-95.3619829,POINT (-95.3619829 35.6204519),9,-18000,OTHER,KEEP
50312,1589638261,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6575774,-95.3757561,POINT (-95.3757561 35.6575774),3,-18000,OTHER,KEEP
50768,1589638306,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6491682,-95.3734421,POINT (-95.3734421 35.6491682),3,-18000,OTHER,KEEP
50310,1589638351,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6414261,-95.3703887,POINT (-95.3703887 35.6414261),3,-18000,OTHER,KEEP
50386,1589638371,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6378294,-95.3689466,POINT (-95.3689466 35.6378294),3,-18000,OTHER,KEEP
50766,1589638396,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.633429,-95.3671932,POINT (-95.3671932 35.633429),3,-18000,OTHER,KEEP
50765,1589638441,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6257924,-95.3641394,POINT (-95.3641394 35.6257924),3,-18000,OTHER,KEEP
50243,1589638486,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6181569,-95.3610755,POINT (-95.3610755 35.6181569),3,-18000,OTHER,KEEP
50638,1589638531,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.610512,-95.3579246,POINT (-95.3579246 35.610512),3,-18000,OTHER,KEEP
50285,1589638576,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6098146,-95.3536192,POINT (-95.3536192 35.6098146),3,-18000,OTHER,KEEP
50691,1589638611,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6098557,-95.3482947,POINT (-95.3482947 35.6098557),3,-18000,OTHER,KEEP
50692,1589638621,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6098592,-95.3467639,POINT (-95.3467639 35.6098592),3,-18000,OTHER,KEEP
50678,1589638666,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6098774,-95.339655,POINT (-95.339655 35.6098774),3,-18000,OTHER,KEEP
50680,1589638712,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6098806,-95.3345624,POINT (-95.3345624 35.6098806),3,-18000,OTHER,KEEP
50681,1589638731,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.609872,-95.3326554,POINT (-95.3326554 35.609872),3,-18000,OTHER,KEEP
50682,1589638757,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6098815,-95.3316749,POINT (-95.3316749 35.6098815),3,-18000,OTHER,KEEP
50241,1589638801,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6100865,-95.3313858,POINT (-95.3313858 35.6100865),3,-18000,OTHER,KEEP
50683,1589638846,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6098895,-95.331425,POINT (-95.331425 35.6098895),3,-18000,OTHER,KEEP
50728,1589638891,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6099168,-95.3346205,POINT (-95.3346205 35.6099168),3,-18000,OTHER,KEEP
50288,1589638936,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6108536,-95.3358429,POINT (-95.3358429 35.6108536),9,-18000,OTHER,KEEP
50409,1589638971,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6123566,-95.3358319,POINT (-95.3358319 35.6123566),9,-18000,OTHER,KEEP
50410,1589638981,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6128723,-95.3358233,POINT (-95.3358233 35.6128723),9,-18000,OTHER,KEEP
50411,1589639026,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6146825,-95.3357655,POINT (-95.3357655 35.6146825),9,-18000,OTHER,KEEP
50741,1589639071,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6148465,-95.3352031,POINT (-95.3352031 35.6148465),3,-18000,OTHER,KEEP
50742,1589639116,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149735,-95.3349961,POINT (-95.3349961 35.6149735),7,-18000,OTHER,KEEP
50694,1589639172,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6150015,-95.3349835,POINT (-95.3349835 35.6150015),3,-18000,OTHER,KEEP
50594,1589639207,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149459,-95.3349939,POINT (-95.3349939 35.6149459),3,-18000,OTHER,KEEP
50337,1589639211,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149458,-95.3349939,POINT (-95.3349939 35.6149458),3,-18000,OTHER,KEEP
50693,1589639297,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149738,-95.3350041,POINT (-95.3350041 35.6149738),3,-18000,OTHER,KEEP
50697,1589639341,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6150501,-95.3350037,POINT (-95.3350037 35.6150501),3,-18000,OTHER,KEEP
50696,1589639386,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149787,-95.3349978,POINT (-95.3349978 35.6149787),3,-18000,OTHER,KEEP
50740,1589639431,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6148234,-95.3352894,POINT (-95.3352894 35.6148234),3,-18000,OTHER,KEEP
50749,1589639476,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6148865,-95.335128,POINT (-95.335128 35.6148865),3,-18000,OTHER,KEEP
50413,1589639521,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149539,-95.3350458,POINT (-95.3350458 35.6149539),3,-18000,OTHER,KEEP
50639,1589639566,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6150503,-95.3349786,POINT (-95.3349786 35.6150503),3,-18000,OTHER,KEEP
50291,1589639706,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6150585,-95.3349703,POINT (-95.3349703 35.6150585),3,-18000,OTHER,KEEP
50695,1589639791,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149726,-95.3349909,POINT (-95.3349909 35.6149726),3,-18000,OTHER,KEEP
50595,1589639836,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149372,-95.3349943,POINT (-95.3349943 35.6149372),3,-18000,OTHER,KEEP
50593,1589639881,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149704,-95.3349806,POINT (-95.3349806 35.6149704),4,-18000,OTHER,KEEP
50473,1589640492,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6114645,-95.3571558,POINT (-95.3571558 35.6114645),3300,-18000,OTHER,KEEP
50250,1589640499,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6151324,-95.3349973,POINT (-95.3349973 35.6151324),5,-18000,OTHER,KEEP
50684,1589640734,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149082,-95.3351096,POINT (-95.3351096 35.6149082),180,-18000,OTHER,KEEP
50523,1589641247,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6150365,-95.3349659,POINT (-95.3349659 35.6150365),3,-18000,OTHER,KEEP
50244,1589641531,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6178169,-95.3136812,POINT (-95.3136812 35.6178169),5000,-18000,OTHER,KEEP
50699,1589641686,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.5770255,-95.2721985,POINT (-95.2721985 35.5770255),1900,-18000,OTHER,KEEP
50640,1589641877,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.615089,-95.3349984,POINT (-95.3349984 35.615089),16,-18000,OTHER,KEEP
50568,1589641880,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.615081,-95.3351421,POINT (-95.3351421 35.615081),8,-18000,OTHER,KEEP
50592,1589641927,1b4449342556a73fdc267f1222d9ca5030f14fe6bb0d526d24d5a5139aaab171,0,35.6149376,-95.3351185,POINT (-95.3351185 35.6149376),3,-18000,OTHER,KEEP
